24,1,379,1,33,"Matrix::main@10-42@Matrix.java","Matrix.java","Matrix::main","Matrix::main( String [ ] args)",10,42
11,4,110,1,15,"Matrix::Matrix@55-69@Matrix.java","Matrix.java","Matrix::Matrix","Matrix::Matrix( int [ ] [ ] pData)",55,69
3,1,19,2,3,"Matrix::getElement@78-80@Matrix.java","Matrix.java","Matrix::getElement","Matrix::getElement( int x , int y)",78,80
5,2,21,0,6,"Matrix::getRows@87-92@Matrix.java","Matrix.java","Matrix::getRows","Matrix::getRows()",87,92
5,2,24,0,5,"Matrix::getColumns@99-103@Matrix.java","Matrix.java","Matrix::getColumns","Matrix::getColumns()",99,103
7,3,97,1,10,"Matrix::scale@112-121@Matrix.java","Matrix.java","Matrix::scale","Matrix::scale( int scalar)",112,121
7,3,97,1,10,"Matrix::divide@130-139@Matrix.java","Matrix.java","Matrix::divide","Matrix::divide( int scalar)",130,139
9,5,139,1,13,"Matrix::plus@147-159@Matrix.java","Matrix.java","Matrix::plus","Matrix::plus( Matrix other)",147,159
9,5,139,1,13,"Matrix::minus@167-179@Matrix.java","Matrix.java","Matrix::minus","Matrix::minus( Matrix other)",167,179
15,5,157,1,19,"Matrix::multiply@187-205@Matrix.java","Matrix.java","Matrix::multiply","Matrix::multiply( Matrix other)",187,205
9,6,103,1,11,"Matrix::equals@213-223@Matrix.java","Matrix.java","Matrix::equals","Matrix::equals( Matrix other)",213,223
13,3,82,0,15,"Matrix::toString@236-250@Matrix.java","Matrix.java","Matrix::toString","Matrix::toString()",236,250
7,3,93,0,10,"Matrix::transpose@257-266@Matrix.java","Matrix.java","Matrix::transpose","Matrix::transpose()",257,266
